Date,BITF,BITO,COIN,MARA,MSTR,RIOT,UVXY
2021-10-19,5.67,42.16,306.66,54.11,735.0,30.95,17.42
2021-10-20,5.78,42.6,311.96,52.6,752.87,31.29,17.3
2021-10-21,5.46,41.23,302.0,50.56,731.43,29.02,16.34
2021-10-22,5.28,40.93,306.76,51.06,736.45,29.13,16.59
2021-10-25,5.29,40.45,328.15,53.74,740.32,29.42,15.78
2021-10-26,5.07,38.07,309.33,50.82,720.0,27.55,16.44
2021-10-27,5.11,39.69,319.81,52.19,728.94,27.4,16.66
2021-10-28,5.27,39.44,319.32,50.78,724.1,27.49,16.92
2021-10-29,5.31,39.9,324.77,52.29,721.0,27.3,16.26
2021-11-01,5.71,40.75,336.33,58.46,752.01,28.92,16.07
2021-11-02,6.3,40.17,335.26,61.67,781.59,31.07,15.51
2021-11-03,6.75,39.82,340.74,63.87,810.0,32.76,14.41
2021-11-04,7.41,39.61,345.23,65.17,803.87,33.01,14.72
2021-11-05,8.0,42.17,349.5,70.01,841.99,34.0,15.4
2021-11-08,8.5,43.69,367.39,81.5,884.5,40.9,15.98
2021-11-09,9.05,43.92,327.22,79.05,878.86,41.16,16.71
2021-11-10,7.96,41.57,327.43,66.79,812.33,37.42,16.08
2021-11-11,7.97,40.88,339.25,69.69,811.02,39.67,15.69
2021-11-12,8.89,41.79,345.1,72.62,819.96,45.9,14.98
2021-11-15,7.99,38.95,333.14,51.0,767.28,36.44,15.15
2021-11-16,8.43,38.68,342.03,55.6,763.6,37.6,15.01
2021-11-17,8.3,37.81,343.0,51.02,750.51,34.46,15.18
2021-11-18,8.0,37.04,325.56,51.94,735.12,33.98,15.71
2021-11-19,8.38,37.38,333.33,55.0,724.71,36.6,15.41
2021-11-22,7.58,36.5,312.5,50.85,694.27,33.81,16.33
2021-11-23,7.68,35.83,309.38,49.92,690.02,34.33,16.36
2021-11-24,7.37,34.8,301.3,49.26,681.29,35.04,18.2
2021-11-26,7.43,36.5,312.22,52.13,690.0,36.3,18.03
2021-11-29,7.82,37.27,320.75,52.03,698.25,37.9,18.25
2021-11-30,8.0,37.34,318.6,52.22,732.64,38.46,18.31
2021-12-01,7.44,35.97,295.16,50.5,691.52,35.0,21.74
2021-12-02,7.21,36.06,286.0,48.89,675.93,33.6,20.5
2021-12-03,5.51,30.71,253.13,38.01,594.92,26.4,22.26
2021-12-06,6.52,32.44,277.65,44.29,621.0,29.85,18.96
2021-12-07,6.3,31.95,284.44,45.49,623.67,29.52,17.08
2021-12-08,6.2,31.16,284.97,45.7,621.5,28.78,15.82
2021-12-09,5.98,31.47,266.3,43.02,613.61,27.18,15.27
2021-12-10,5.4,30.35,252.14,39.56,594.95,25.56,15.1
2021-12-13,4.99,29.74,247.28,36.0,565.0,23.84,16.58
2021-12-14,5.0,30.24,254.49,37.02,577.61,24.68,16.37
2021-12-15,5.27,30.89,264.46,38.99,595.72,25.74,14.09
2021-12-16,4.54,29.53,240.0,34.0,553.55,23.36,16.3
2021-12-17,4.5,28.98,236.56,32.24,552.82,22.36,18.33
2021-12-20,4.8,30.85,244.15,34.24,567.7,23.48,16.14
2021-12-21,4.92,30.91,248.51,34.19,569.79,23.76,15.7
2021-12-22,5.09,30.78,256.56,34.01,568.3,23.58,14.18
2021-12-23,5.84,32.49,270.26,39.0,600.0,25.8,13.96
2021-12-27,5.56,31.06,270.0,37.19,590.0,24.76,13.53
2021-12-28,5.23,29.99,256.67,34.86,566.96,23.08,13.1
2021-12-29,5.16,29.83,252.6,33.88,555.88,22.82,12.5
2021-12-30,5.16,30.3,255.81,34.5,566.9,23.53,12.54
2021-12-31,5.13,29.75,256.27,33.49,550.61,22.45,12.16
2022-01-03,5.1,29.67,253.05,33.6,560.15,23.29,11.67
2022-01-04,5.15,29.26,247.72,33.36,541.76,23.77,11.9
2022-01-05,4.44,27.01,233.19,29.71,500.0,21.15,13.18
2022-01-06,4.35,26.34,233.63,28.4,490.9,19.98,13.2
2022-01-07,4.05,25.06,224.43,26.94,463.69,19.41,13.42
2022-01-10,4.26,26.1,225.5,28.61,482.3,19.91,12.56
2022-01-11,4.99,27.63,242.11,31.28,524.0,21.67,11.45
2022-01-12,5.09,27.92,241.99,30.9,521.85,21.73,11.45
2022-01-13,4.4,26.62,226.62,27.58,484.17,19.84,13.2
2022-01-14,4.32,26.14,226.82,27.6,484.8,19.65,13.09
2022-01-18,4.32,26.59,224.25,26.38,482.79,19.01,13.25
2022-01-19,4.13,26.72,222.3,25.38,467.09,17.93,13.68
2022-01-20,3.78,24.26,209.98,22.91,422.84,16.32,15.53
2022-01-21,3.13,21.17,173.18,19.8,320.0,13.48,19.24
2022-01-24,3.41,23.1,185.17,22.58,369.99,14.5,19.63
2022-01-25,3.77,24.2,193.6,23.92,390.0,15.79,16.76
2022-01-26,3.54,23.22,182.03,21.52,360.0,14.33,17.09
2022-01-27,3.14,23.33,169.1,20.56,328.69,13.59,18.23
2022-01-28,3.35,23.48,177.87,22.0,337.88,14.98,17.19
2022-01-31,3.82,24.48,197.97,24.0,382.86,16.56,14.82
2022-02-01,3.91,24.12,195.81,24.5,366.74,16.42,13.42
2022-02-02,3.44,22.96,182.26,22.0,340.0,14.96,14.36
2022-02-03,3.51,23.76,181.02,22.07,340.76,15.11,15.21
2022-02-04,4.13,27.01,198.7,25.0,404.01,17.71,14.17
2022-02-07,4.08,27.44,200.37,25.0,408.75,17.58,13.85
2022-02-08,4.31,27.69,210.18,26.8,430.0,18.65,12.52
2022-02-09,4.19,27.38,210.57,27.89,439.5,18.93,13.28
2022-02-10,4.28,27.42,205.8,28.8,430.11,19.3,14.01
2022-02-11,4.1,26.86,193.48,26.86,414.7,18.36,16.97
2022-02-14,4.1,27.88,202.31,27.6,431.01,19.0,15.15
2022-02-15,3.96,27.46,205.38,27.41,428.52,19.08,15.21
2022-02-16,3.88,26.47,202.1,27.1,420.23,19.07,15.18
2022-02-17,3.65,25.37,191.08,25.62,404.59,17.71,16.675
2022-02-18,3.24,23.55,180.87,22.8,377.0,16.19,17.35
2022-02-22,3.37,24.43,180.69,23.36,390.5,16.5,16.15
2022-02-23,2.8,22.11,159.08,19.64,340.24,13.8,21.32
2022-02-24,3.42,24.66,180.24,23.27,403.0,16.45,17.18
2022-02-25,3.26,24.49,172.5,23.2,401.57,16.13,18.23
2022-02-28,3.99,27.95,196.28,27.35,465.12,18.11,18.22
2022-03-01,3.99,27.55,192.26,25.55,454.82,17.41,20.0
2022-03-02,4.06,27.59,194.71,26.6,455.1,17.59,18.13
2022-03-03,3.55,25.94,177.61,24.78,425.0,15.89,20.2
2022-03-04,3.44,24.57,168.25,23.12,413.79,15.12,19.99
2022-03-07,3.23,24.3,160.1,21.75,394.98,14.78,22.18
2022-03-08,3.64,26.47,174.26,24.38,442.0,16.07,20.34
2022-03-09,3.43,24.56,173.14,24.03,415.0,16.18,21.18
2022-03-10,3.49,24.71,175.35,25.14,427.0,16.63,18.49
2022-03-11,3.18,24.32,159.99,22.3,389.95,15.0,19.83
2022-03-14,3.16,24.35,152.9,21.33,369.07,14.1,20.57
2022-03-15,3.39,25.39,160.47,23.15,400.17,15.18,18.83
2022-03-16,3.51,25.7,170.73,24.05,427.98,16.12,17.06
2022-03-17,3.73,25.4,175.03,26.11,435.82,18.12,17.0
2022-03-18,3.83,25.91,181.8,27.94,451.07,19.52,15.34
2022-03-21,3.85,26.93,180.5,28.92,450.16,20.43,14.7
2022-03-22,3.72,26.54,184.72,29.15,455.16,20.52,15.3
2022-03-23,3.75,26.91,185.26,30.01,459.66,21.11,14.63
2022-03-24,4.03,28.2,192.0,31.2,493.7,22.0,14.0
2022-03-25,4.08,29.76,193.31,30.93,496.04,22.12,13.77
2022-03-28,4.2,30.05,198.95,31.33,510.0,22.96,12.71
2022-03-29,4.13,29.61,201.29,30.34,506.2,22.54,12.47
2022-03-30,4.0,29.65,197.25,29.87,504.93,22.15,12.64
2022-03-31,3.79,28.44,189.86,27.86,489.56,20.52,13.13
2022-04-01,3.8,28.83,187.34,28.55,491.72,20.73,12.6
2022-04-04,3.76,29.13,189.76,29.35,508.57,20.79,12.0
2022-04-05,3.43,28.11,172.83,25.21,472.92,18.5,13.89
2022-04-06,3.3,27.12,166.71,24.05,455.5,17.56,13.82
2022-04-07,3.22,26.77,165.21,23.56,459.08,17.13,13.35
2022-04-08,3.09,25.57,156.57,22.05,439.72,16.1,13.54
2022-04-11,3.18,25.3,158.07,22.55,448.0,16.3,13.68
2022-04-12,3.07,24.83,149.03,21.01,441.25,15.45,14.48
2022-04-13,3.4,25.73,153.54,22.3,464.02,15.95,12.64
2022-04-14,3.11,24.62,145.45,20.96,447.8,14.72,13.56
2022-04-18,3.22,25.59,146.02,21.1,450.0,14.82,13.07
2022-04-19,3.35,26.3,154.93,21.65,476.6,14.93,11.83
2022-04-20,3.25,26.8,151.97,21.3,461.02,14.46,11.39
2022-04-21,3.03,25.25,137.29,19.08,424.92,12.655,13.07
2022-04-22,2.79,24.2,130.01,17.8,405.08,11.54,15.74
2022-04-25,2.93,25.1,135.31,18.5,426.0,12.01,15.27
2022-04-26,2.82,24.32,125.28,17.0,393.2,10.83,17.23
2022-04-27,2.91,24.62,123.69,16.87,393.0,11.1,16.4
2022-04-28,2.91,24.33,121.1,16.66,393.0,10.82,16.74
2022-04-29,2.86,24.18,113.07,15.56,356.01,10.09,18.38
2022-05-02,2.94,23.9,120.23,16.35,360.0,10.86,17.49
2022-05-03,3.05,24.34,124.0,16.88,346.51,10.9,15.96
2022-05-04,3.14,24.57,125.0,17.27,356.62,11.34,14.57
2022-05-05,2.81,22.36,112.5,15.49,310.0,9.99,18.14
2022-05-06,2.48,20.36,96.0,13.94,271.25,8.9,18.57
2022-05-09,2.3,19.98,87.0,12.86,237.35,8.21,18.02
2022-05-10,1.92,18.55,54.85,11.05,200.0,7.08,18.62
2022-05-11,1.71,17.7,48.54,9.43,153.19,6.5,18.75
2022-05-12,2.08,19.01,69.26,11.21,202.06,7.95,16.78
2022-05-13,2.02,18.56,68.06,11.15,200.0,7.83,15.97
2022-05-16,1.92,19.0,66.2,10.75,210.0,7.56,14.42
2022-05-17,1.93,18.3,67.69,10.69,216.88,7.45,15.0
2022-05-18,1.89,18.42,65.0,10.17,204.79,6.99,18.15
2022-05-19,1.91,18.83,69.37,10.6,214.52,7.27,15.22
2022-05-20,1.82,18.92,65.54,9.88,211.64,6.93,15.57
2022-05-23,1.75,18.17,64.56,9.6,200.6,6.69,16.13
2022-05-24,1.66,18.29,61.07,8.92,190.73,6.21,16.16
2022-05-25,1.65,17.49,63.97,8.81,180.22,6.14,15.08
2022-05-26,1.77,18.12,69.84,9.9,220.28,6.76,14.55
2022-05-27,2.0,19.78,80.0,11.0,235.17,7.69,14.61
2022-05-31,2.02,19.8,77.5,10.23,261.35,7.2,13.57
2022-06-01,1.86,18.51,67.8,9.14,234.79,6.49,13.77
2022-06-02,1.88,18.34,69.39,9.09,239.38,6.53,13.62
2022-06-03,2.04,19.53,70.76,9.16,243.95,6.5,13.06
2022-06-06,1.82,18.34,67.31,8.67,221.7,6.11,13.7
2022-06-07,1.85,18.83,69.23,8.67,236.88,6.075,12.89
2022-06-08,1.79,18.71,69.08,8.4,231.33,5.89,13.0
2022-06-09,1.61,18.21,60.0,7.38,211.89,5.27,14.38
2022-06-10,1.35,14.5,46.18,6.16,149.9,4.4,16.59
2022-06-13,1.34,13.94,52.5,6.54,149.01,4.7,17.55
2022-06-14,1.37,13.25,50.94,6.73,160.46,4.79,16.38
2022-06-15,1.38,13.18,52.58,6.73,160.87,4.69,16.72
2022-06-16,1.32,12.78,50.12,6.46,158.03,4.5,16.87
2022-06-17,1.36,13.12,54.2,6.89,170.94,4.8,15.3
2022-06-21,1.33,12.74,53.87,7.07,177.25,4.96,16.15
2022-06-22,1.35,12.72,53.6,6.75,177.0,4.74,14.66
2022-06-23,1.41,13.16,60.0,7.12,195.0,5.01,14.4
2022-06-24,1.49,13.15,59.56,7.43,202.51,5.19,14.22
2022-06-27,1.42,13.0,56.26,6.91,197.64,5.02,13.48
2022-06-28,1.26,12.42,50.5,6.25,180.3,4.67,14.4
2022-06-29,1.13,11.87,48.2,5.52,172.8,4.34,14.81
2022-06-30,1.12,11.89,47.99,5.39,166.9,4.24,14.76
2022-07-01,1.04,11.95,48.13,5.4,165.84,4.14,14.75
2022-07-05,1.25,12.48,54.17,5.92,185.76,4.65,14.04
2022-07-06,1.19,12.61,52.14,5.76,190.7,4.6,13.51
2022-07-07,1.24,13.2,55.61,6.65,213.12,5.08,13.47
2022-07-08,1.31,12.7,57.54,7.89,210.35,5.06,13.33
2022-07-11,1.18,12.27,53.7,7.75,196.52,4.82,13.56
2022-07-12,1.09,11.73,51.68,7.51,185.76,4.68,14.26
2022-07-13,1.14,12.17,52.34,7.59,193.29,4.86,14.04
2022-07-14,1.19,12.96,54.35,8.25,208.5,5.45,13.09
2022-07-15,1.25,13.75,56.71,8.77,230.12,5.93,12.32
2022-07-18,1.37,13.81,60.86,10.36,236.66,6.6,12.57
2022-07-19,1.53,14.78,67.08,13.58,278.5,7.22,12.55
2022-07-20,1.4,14.05,71.0,11.74,279.04,6.78,12.22
2022-07-21,1.55,14.6,76.2,13.87,294.06,7.85,11.79
2022-07-22,1.33,13.55,68.93,11.61,270.0,6.84,11.69
2022-07-25,1.21,12.95,61.69,11.22,248.95,6.39,11.69
2022-07-26,1.29,13.16,54.87,10.86,247.28,6.5,11.5
2022-07-27,1.37,14.32,58.24,12.32,260.0,7.17,11.13
2022-07-28,1.43,14.65,60.14,12.78,270.0,7.24,10.42
2022-07-29,1.4,14.3,61.19,12.51,276.33,7.2,10.6
2022-08-01,1.38,14.08,60.91,11.88,280.89,7.19,11.05
2022-08-02,1.54,14.38,69.05,13.17,283.76,7.91,10.69
2022-08-03,1.61,14.17,106.1,13.5,319.89,8.23,10.33
2022-08-04,1.54,14.23,86.58,13.23,308.74,8.15,10.58
2022-08-05,1.7,14.87,97.84,15.3,335.65,8.75,9.89
2022-08-08,1.63,14.37,93.89,14.01,320.0,8.48,10.12
